Step 0, train loss = 0.69, train accuracy = 0.56%
Step 50, train loss = 0.69, train accuracy = 0.44%
Step 100, train loss = 0.65, train accuracy = 0.69%
Step 150, train loss = 0.66, train accuracy = 0.44%
Step 200, train loss = 0.68, train accuracy = 0.69%
Step 250, train loss = 0.64, train accuracy = 0.62%
Step 300, train loss = 0.55, train accuracy = 0.75%
Step 350, train loss = 0.78, train accuracy = 0.31%
Step 400, train loss = 0.64, train accuracy = 0.56%
Step 450, train loss = 0.62, train accuracy = 0.69%
Step 500, train loss = 0.54, train accuracy = 0.62%
Step 550, train loss = 0.76, train accuracy = 0.50%
Step 600, train loss = 0.70, train accuracy = 0.69%
Step 650, train loss = 0.72, train accuracy = 0.50%
Step 700, train loss = 0.48, train accuracy = 0.81%
Step 750, train loss = 0.69, train accuracy = 0.56%
Step 800, train loss = 0.50, train accuracy = 0.69%
Step 850, train loss = 0.62, train accuracy = 0.62%
Step 900, train loss = 0.63, train accuracy = 0.62%
Step 950, train loss = 0.46, train accuracy = 0.88%
Step 1000, train loss = 0.55, train accuracy = 0.62%
Step 1050, train loss = 0.69, train accuracy = 0.56%
Step 1100, train loss = 0.53, train accuracy = 0.69%
Step 1150, train loss = 0.63, train accuracy = 0.69%
Step 1200, train loss = 0.86, train accuracy = 0.69%
Step 1250, train loss = 0.48, train accuracy = 0.81%
Step 1300, train loss = 0.58, train accuracy = 0.69%
Step 1350, train loss = 0.59, train accuracy = 0.69%
Step 1400, train loss = 0.63, train accuracy = 0.56%
Step 1450, train loss = 0.50, train accuracy = 0.75%
Step 1500, train loss = 0.45, train accuracy = 0.81%
Step 1550, train loss = 0.57, train accuracy = 0.75%
Step 1600, train loss = 0.53, train accuracy = 0.75%
Step 1650, train loss = 0.75, train accuracy = 0.44%
Step 1700, train loss = 0.49, train accuracy = 0.75%
Step 1750, train loss = 0.54, train accuracy = 0.75%
Step 1800, train loss = 0.52, train accuracy = 0.69%
Step 1850, train loss = 0.73, train accuracy = 0.62%
Step 1900, train loss = 0.51, train accuracy = 0.62%
Step 1950, train loss = 0.48, train accuracy = 0.81%
Step 2000, train loss = 0.61, train accuracy = 0.81%
Step 2050, train loss = 0.54, train accuracy = 0.75%
Step 2100, train loss = 0.37, train accuracy = 0.88%
Step 2150, train loss = 0.42, train accuracy = 0.81%
Step 2200, train loss = 0.40, train accuracy = 0.88%
Step 2250, train loss = 0.70, train accuracy = 0.62%
Step 2300, train loss = 0.49, train accuracy = 0.81%
Step 2350, train loss = 0.45, train accuracy = 0.75%
Step 2400, train loss = 0.40, train accuracy = 0.81%
Step 2450, train loss = 0.51, train accuracy = 0.81%
Step 2500, train loss = 0.41, train accuracy = 0.81%
Step 2550, train loss = 0.71, train accuracy = 0.62%
Step 2600, train loss = 0.57, train accuracy = 0.62%
Step 2650, train loss = 0.57, train accuracy = 0.75%
Step 2700, train loss = 0.35, train accuracy = 0.88%
Step 2750, train loss = 0.54, train accuracy = 0.81%
Step 2800, train loss = 0.58, train accuracy = 0.62%
Step 2850, train loss = 0.57, train accuracy = 0.69%
Step 2900, train loss = 0.50, train accuracy = 0.81%
Step 2950, train loss = 0.56, train accuracy = 0.75%
Step 3000, train loss = 0.41, train accuracy = 0.81%
Step 3050, train loss = 0.42, train accuracy = 0.81%
Step 3100, train loss = 0.52, train accuracy = 0.81%
Step 3150, train loss = 0.50, train accuracy = 0.75%
Step 3200, train loss = 0.29, train accuracy = 0.88%
Step 3250, train loss = 0.47, train accuracy = 0.75%
Step 3300, train loss = 0.40, train accuracy = 0.75%
Step 3350, train loss = 0.49, train accuracy = 0.81%
Step 3400, train loss = 0.58, train accuracy = 0.75%
Step 3450, train loss = 0.40, train accuracy = 0.88%
Step 3500, train loss = 0.39, train accuracy = 0.94%
Step 3550, train loss = 0.75, train accuracy = 0.62%
Step 3600, train loss = 0.56, train accuracy = 0.62%
Step 3650, train loss = 0.45, train accuracy = 0.75%
Step 3700, train loss = 0.63, train accuracy = 0.56%
Step 3750, train loss = 0.35, train accuracy = 0.81%
Step 3800, train loss = 0.31, train accuracy = 0.88%
Step 3850, train loss = 0.40, train accuracy = 0.69%
Step 3900, train loss = 0.52, train accuracy = 0.75%
Step 3950, train loss = 0.80, train accuracy = 0.69%
Step 4000, train loss = 0.62, train accuracy = 0.69%
Step 4050, train loss = 0.33, train accuracy = 1.00%
Step 4100, train loss = 0.89, train accuracy = 0.62%
Step 4150, train loss = 0.36, train accuracy = 0.88%
Step 4200, train loss = 0.42, train accuracy = 0.81%
Step 4250, train loss = 0.47, train accuracy = 0.88%
Step 4300, train loss = 0.55, train accuracy = 0.81%
Step 4350, train loss = 0.42, train accuracy = 0.88%
Step 4400, train loss = 0.50, train accuracy = 0.81%
Step 4450, train loss = 0.27, train accuracy = 0.88%
Step 4500, train loss = 0.50, train accuracy = 0.75%
Step 4550, train loss = 0.61, train accuracy = 0.62%
Step 4600, train loss = 0.39, train accuracy = 0.81%
Step 4650, train loss = 0.55, train accuracy = 0.75%
Step 4700, train loss = 0.24, train accuracy = 0.94%
Step 4750, train loss = 0.29, train accuracy = 0.88%
Step 4800, train loss = 0.36, train accuracy = 0.81%
Step 4850, train loss = 0.51, train accuracy = 0.69%
Step 4900, train loss = 0.77, train accuracy = 0.56%
Step 4950, train loss = 0.31, train accuracy = 0.88%
Step 5000, train loss = 0.45, train accuracy = 0.81%
Step 5050, train loss = 0.48, train accuracy = 0.88%
Step 5100, train loss = 0.31, train accuracy = 0.94%
Step 5150, train loss = 0.42, train accuracy = 0.75%
Step 5200, train loss = 0.52, train accuracy = 0.81%
Step 5250, train loss = 0.45, train accuracy = 0.75%
Step 5300, train loss = 0.37, train accuracy = 0.81%
Step 5350, train loss = 0.25, train accuracy = 0.94%
Step 5400, train loss = 0.41, train accuracy = 0.69%
Step 5450, train loss = 0.46, train accuracy = 0.81%
Step 5500, train loss = 0.29, train accuracy = 0.94%
Step 5550, train loss = 0.37, train accuracy = 0.75%
Step 5600, train loss = 0.32, train accuracy = 0.88%
Step 5650, train loss = 0.38, train accuracy = 0.81%
Step 5700, train loss = 0.22, train accuracy = 0.88%
Step 5750, train loss = 0.52, train accuracy = 0.75%
Step 5800, train loss = 0.56, train accuracy = 0.62%
Step 5850, train loss = 0.31, train accuracy = 0.88%
Step 5900, train loss = 0.68, train accuracy = 0.75%
Step 5950, train loss = 0.37, train accuracy = 0.88%
Step 6000, train loss = 0.43, train accuracy = 0.75%
Step 6050, train loss = 0.45, train accuracy = 0.88%
Step 6100, train loss = 0.37, train accuracy = 0.75%
Step 6150, train loss = 0.31, train accuracy = 0.88%
Step 6200, train loss = 0.21, train accuracy = 1.00%
Step 6250, train loss = 0.31, train accuracy = 0.88%
Step 6300, train loss = 0.39, train accuracy = 0.69%
Step 6350, train loss = 0.22, train accuracy = 0.94%
Step 6400, train loss = 0.44, train accuracy = 0.88%
Step 6450, train loss = 0.48, train accuracy = 0.62%
Step 6500, train loss = 0.20, train accuracy = 1.00%
Step 6550, train loss = 0.33, train accuracy = 0.88%
Step 6600, train loss = 0.26, train accuracy = 0.88%
Step 6650, train loss = 0.44, train accuracy = 0.75%
Step 6700, train loss = 0.30, train accuracy = 0.81%
Step 6750, train loss = 0.46, train accuracy = 0.75%
Step 6800, train loss = 0.36, train accuracy = 0.88%
Step 6850, train loss = 0.32, train accuracy = 0.88%
Step 6900, train loss = 0.60, train accuracy = 0.81%
Step 6950, train loss = 0.29, train accuracy = 0.94%
Step 7000, train loss = 0.32, train accuracy = 0.88%
Step 7050, train loss = 0.27, train accuracy = 0.88%
Step 7100, train loss = 0.37, train accuracy = 0.88%
Step 7150, train loss = 0.56, train accuracy = 0.81%
Step 7200, train loss = 0.42, train accuracy = 0.69%
Step 7250, train loss = 0.39, train accuracy = 0.81%
Step 7300, train loss = 0.45, train accuracy = 0.69%
Step 7350, train loss = 0.15, train accuracy = 0.94%
Step 7400, train loss = 0.36, train accuracy = 0.88%
Step 7450, train loss = 0.18, train accuracy = 1.00%
Step 7500, train loss = 0.25, train accuracy = 0.94%
Step 7550, train loss = 0.44, train accuracy = 0.81%
Step 7600, train loss = 0.26, train accuracy = 0.88%
Step 7650, train loss = 0.31, train accuracy = 0.81%
Step 7700, train loss = 0.17, train accuracy = 0.94%
Step 7750, train loss = 0.21, train accuracy = 0.88%
Step 7800, train loss = 0.40, train accuracy = 0.81%
Step 7850, train loss = 0.22, train accuracy = 0.94%
Step 7900, train loss = 0.35, train accuracy = 0.88%
Step 7950, train loss = 0.17, train accuracy = 0.94%
Step 8000, train loss = 0.47, train accuracy = 0.75%
Step 8050, train loss = 0.51, train accuracy = 0.75%
Step 8100, train loss = 0.45, train accuracy = 0.81%
Step 8150, train loss = 0.12, train accuracy = 1.00%
Step 8200, train loss = 0.30, train accuracy = 0.81%
